K,Rem,cdrag
1.2,2304.5347878601874,1.6471190185572322
1.2,2422.690732755876,1.6561746036701142
1.2,2422.690732755876,1.7115896372508677
1.2,2301.766374468295,1.648590366761602
1.2,2420.671573748116,1.656888450898988
1.2,2420.671573748116,1.7127350792414997
1.2,2298.919994485795,1.6501085465798395
1.2,2418.5920631426497,1.6576249412500166
1.2,2418.5920631426497,1.7139208823618135
1.2,2295.9812185964215,1.651679811307468
1.2,2416.4523384241656,1.6583841394760075
1.2,2416.4523384241656,1.7151410117394221
1.2,2292.965029004086,1.653298451320106
1.2,2414.244825384813,1.6591684679256502
1.2,2414.244825384813,1.7164013242494864
1.2,2289.8570447624256,1.6549705160279278
1.2,2411.985106443608,1.6599732872375577
1.2,2411.985106443608,1.717693680990406
1.2,2286.6795470810234,1.656684750485464
1.2,2409.6733115800466,1.66079802510581
1.2,2409.6733115800466,1.7190239538948955
1.2,2283.41817773045,1.6584502337612852
1.2,2407.301877431954,1.6616457446047341
1.2,2407.301877431954,1.7203891994392837
1.2,2280.0805536912203,1.6602642568772812
1.2,2404.8632704680545,1.6625188875715364
1.2,2404.8632704680545,1.72179220450308
1.2,2276.6596831022734,1.661967376970917
1.2,2402.3807183946265,1.6634097946831592
1.2,2402.3807183946265,1.7232310448891426
1.2,2273.163178104462,1.663660767750535
1.2,2399.831316286048,1.664326917986761
1.2,2399.831316286048,1.72471166735615
1.2,2269.5768096911443,1.665400175025445
1.2,2397.2229204019686,1.6652666992434135
1.2,2397.2229204019686,1.7262243458096866
1.2,2265.9227333827794,1.6671829245479417
1.2,2394.56336196816,1.66622747947772
1.2,2394.56336196816,1.727779724387778
1.2,2262.1794941462476,1.6690152153062363
1.2,2391.837486046137,1.6672140998866405
1.2,2391.837486046137,1.7293738542091015
1.2,2258.3547226108994,1.6708914264366292
1.2,2389.068429361146,1.6682188626266645
1.2,2389.068429361146,1.7308939358395654
1.2,2254.6066529023474,1.672809617998388
1.2,2386.2257754750044,1.6692526713988458
1.2,2386.2257754750044,1.732365530124183
1.2,2250.8846701680777,1.6747750368877847
1.2,2383.3402746350466,1.6703047909697992
1.2,2383.3402746350466,1.733866849452084
1.2,2247.100941367089,1.6767830263185814
1.2,2553.414076833865,1.6511623306387837
1.2,2553.414076833865,1.6954303621227094
1.2,2495.2445784726174,1.6523490501601834
1.2,2553.3163615662525,1.6511960595731416
1.2,2553.3163615662525,1.6954806816731227
1.2,2495.109302939098,1.6524146056188758
1.2,2553.161652459878,1.6512497672979665
1.2,2553.161652459878,1.6955638467838554
1.2,2494.886510254955,1.6525205525928446
1.2,2552.949958637167,1.6513231298915392
1.2,2552.949958637167,1.695676614004201
1.2,2494.5841767716015,1.6526664499635852
1.2,2552.6568696268246,1.6514246696509889
1.2,2552.6568696268246,1.6958278526626378
1.2,2494.1784641086483,1.652857765062848
1.2,2552.3231098911174,1.6515403098301324
1.2,2552.3231098911174,1.6960089505843525
1.2,2493.6932762339848,1.6530924928076447
1.2,2551.9161378162557,1.6516815253754527
1.2,2551.9161378162557,1.696222730332912
1.2,2493.120702368501,1.6533643075568325
1.2,2551.452259330008,1.6518424303120125
1.2,2551.452259330008,1.6964692171176488
1.2,2492.4607955190695,1.6536791556893953
1.2,2550.923365667113,1.652025987159514
1.2,2550.923365667113,1.6967514711316263
1.2,2491.705669106982,1.6540400434923563
1.2,2550.337626860257,1.6522292604519389
1.2,2550.337626860257,1.6970634642324036
1.2,2490.871289897778,1.6544440759606893
1.2,2549.695077398632,1.6524525936257461
1.2,2549.695077398632,1.6974084896375359
1.2,2489.949785301255,1.6548888172446634
1.2,2548.979493803292,1.652701252915203
1.2,2548.979493803292,1.697789170475353
1.2,2488.9333006199035,1.655376379370346
1.2,2548.1990586525367,1.6529726366372075
1.2,2548.1990586525367,1.698205782102844
1.2,2487.8219383103306,1.655907298649675
1.2,2547.3619504935273,1.6532638131264652
1.2,2547.3619504935273,1.6986492643693978
1.2,2486.6396105139734,1.6564786964379592
1.2,2546.468218538642,1.6535751326834471
1.2,2546.468218538642,1.6991290057468809
1.2,2485.3626167934785,1.6570940839859734
1.2,2545.5097943995634,1.653909247732814
1.2,2545.5097943995634,1.6996448419134744
1.2,2483.9910856418255,1.6577560720539561
1.2,2544.4867424295053,1.6542658584699563
1.2,2544.4867424295053,1.7001905258966596
1.2,2482.5409988037222,1.658458373126758
1.2,2543.4072462738095,1.6546426926869586
1.2,2543.4072462738095,1.700769615429098
1.2,2481.004559962536,1.659202010846005
1.2,2542.2632574584436,1.655042411740875
1.2,2542.2632574584436,1.7013850006254185
1.2,2479.373997397233,1.6599925939311193
1.2,2541.054852674295,1.6554647213011313
1.2,2541.054852674295,1.702030434071058
