,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
10,"[[0], [2], [2], [0], [3], [1, 1], []]",4.857423425816374,5,((Constant/Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 1, 1, 2, 0]",((0.29069687695890056/0.570223531564223**-0.5108440351447331)**0.3696866755384801) * (x[1]**0.6171447280742348) * (x[2]),[ 0.29069688  0.57022353 -0.51084404  0.36968668  0.61714473],5.1342109810907965,"{'fitness 25': 4.936374796772238, 'fitness 53': 5.149685779352933, 'fitness 74': 4.48620970132395, 'fitness 102': 5.1342109810907965}",True
11,"[[0], [3], [0, 0], [0, 1, 0, 0], [3, 2, 3, 3, 1, 0], [1, 1, 1, 1, 1, 1, 1], [0]]",4.857423432057549,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.5695746761950851 * (x[1]**0.6171503402670652) * (x[2]),[0.56957468 0.61715034],5.134191161691552,"{'fitness 25': 4.936362074241753, 'fitness 53': 5.149674742651288, 'fitness 74': 4.486233479279606, 'fitness 102': 5.134191161691552}",True
12,"[[0], [0], [2, 2], [0, 1], [0, 2, 3, 2], [1, 1, 0, 0], [0, 0, 0, 0]]",4.857423438037511,6,(Constant+Constant**Constant)*((x[0]/x[0])**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 3, 4, 2]",(0.5693073102146615+4.363878977102665**-5.481802895708992)*((x[0]/x[0])**0.43404056455144224) * (x[1]**0.6171403418731974) * (x[2]),[ 0.56930731  4.36387898 -5.4818029   0.43404056  0.61714034],5.1342429137119225,"{'fitness 25': 4.936382076650971, 'fitness 53': 5.149701075047507, 'fitness 74': 4.486187162414055, 'fitness 102': 5.1342429137119225}",True
13,"[[0], [2], [2, 2], [2, 2], [0, 2], [1, 0], [0]]",4.85742357806523,5,((Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 1, 0, 1, 0]",((1.1303352023736506**-3.7314376019710123)**1.2305662382687) * (x[1]**0.6171141471731281) * (x[2]),[ 1.1303352  -3.7314376   1.23056624  0.61711415],5.134073666149367,"{'fitness 25': 4.936484391282476, 'fitness 53': 5.149646672517919, 'fitness 74': 4.486139670395294, 'fitness 102': 5.134073666149367}",True
14,"[[0], [0], [3, 3], [], [1], [0, 1], [0]]",5.10229152959013,5,x[0]-Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 0, 1, 2, 1]",x[0]--0.5241104280578042 * (x[1]**0.6252968868951114) * (x[2]),[-0.52411043  0.62529689],5.372260221018192,"{'fitness 25': 5.17366186955855, 'fitness 53': 5.40478029559131, 'fitness 74': 4.728432423620532, 'fitness 102': 5.372260221018192}",True
15,"[[0], [1], [0, 1], [0, 2, 2, 2], [0, 3, 3, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]",8.403905785980987,6,(x[0]+x[0]/x[0]/(x[0]+x[0])) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 4, 5, 5]",(x[0]+x[0]/x[0]/(x[0]+x[0])) * (x[1]**0.49563695849350325) * (x[2]),[0.49563696],8.235291978299953,"{'fitness 25': 8.749619963952627, 'fitness 53': 8.712138035962557, 'fitness 74': 7.749959358027775, 'fitness 102': 8.235291978299953}",True
16,"[[0], [1], [1, 1], [1, 1, 1, 0], [1, 3, 3, 0, 0, 3, 3], [1, 0, 0, 0, 1, 1, 1, 1], [0, 0, 0]]",8.616441259980684,6,(((Constant-x[0])/(x[0]/x[0]))+((Constant+Constant)/Constant/Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 7, 8, 3]",(((0.5341545815437806-x[0])/(x[0]/x[0]))+((0.012183839558341129+0.5582444235374524)/0.24272553357255297/0.8083721319813144)) * (x[1]**0.44161146531425277) * (x[2]),[0.53415458 0.01218384 0.55824442 0.24272553 0.80837213 0.44161147],8.655807190196485,"{'fitness 25': 8.76042275410877, 'fitness 53': 8.521293552450752, 'fitness 74': 8.567607473382528, 'fitness 102': 8.655807190196485}",True
17,"[[0], [0], [1, 2], [0, 0, 1], [0, 1, 0, 0, 3], [0, 1, 1, 0, 1, 0], [0, 0, 0, 0]]",13.1807829698706,6,(x[0]+Constant-Constant+x[0])+((Constant/x[0])**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 3, 5, 6, 3]",(x[0]+0.5596315133890374-0.13338670147342013+x[0])+((0.6794472854525313/x[0])**0.30156154574447935) * (x[1]**0.5788589718721219) * (x[2]),[0.55963151 0.1333867  0.67944729 0.30156155 0.57885897],11.558891885940643,"{'fitness 25': 14.458331088574699, 'fitness 53': 12.746783669773505, 'fitness 74': 12.337234151263594, 'fitness 102': 11.558891885940643}",True
18,"[[0], [1], [1, 1], [0, 2, 0, 0], [2, 2, 0, 0, 0, 2], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0]]",15.64703870889725,6,((x[0]*x[0]*x[0])+(x[0]+Constant+Constant*Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 4]",((x[0]*x[0]*x[0])+(x[0]+3.6654005726338124+1.4573547254946178*3.1423415335954807)) * (x[1]**0.2628979330655398) * (x[2]),[3.66540057 1.45735473 3.14234153 0.26289793],14.827817340749922,"{'fitness 25': 16.68187490921071, 'fitness 53': 15.78933062066835, 'fitness 74': 14.469910596812696, 'fitness 102': 14.827817340749922}",True
19,"[[0], [1], [0, 1], [0, 2, 0, 2], [0, 3, 3, 0, 3], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0]]",17.871809099214897,6,(x[0]+x[0]/Constant/(x[0]+x[0]/x[0])) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 5, 6, 5]",(x[0]+x[0]/0.17147800466171614/(x[0]+x[0]/x[0])) * (x[1]**0.3814907213241747) * (x[2]),[0.171478   0.38149072],16.638933458192284,"{'fitness 25': 19.600606679668168, 'fitness 53': 18.091635216890285, 'fitness 74': 15.923185401086235, 'fitness 102': 16.638933458192284}",True
