,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
78,"[[0], [1], [0, 3], [1, 1], [0, 1, 2, 2], [1, 3, 3, 1, 1, 3], [0, 0, 1, 1, 1, 1, 0], [0, 0, 1]]",1.1718755932237144,7,((x[0]-x[0]/(Constant/Constant))-(Constant-Constant)/x[1]),"[1, 1, 2, 2, 4, 6, 7, 3]",((x[0]-x[0]/(0.4927749392869639/0.05874594936824684))-(0.9322610422793729-0.1576841747424489)/x[1]),[0.49277494 0.05874595 0.93226104 0.15768417],1.213021737178734,"{'fitness 25': 1.1069427968117356, 'fitness 53': 1.2060442973427217, 'fitness 74': 1.2026396855166857, 'fitness 102': 1.213021737178734}",False
79,"[[0], [2], [0], [1, 2], [2, 2, 1], [2, 0, 3], [0, 1, 1, 0], [0, 1]]",1.2808178964288153,7,((x[0]*Constant)+((Constant/x[1])**Constant)**Constant),"[1, 1, 1, 2, 3, 3, 4, 2]",((x[0]*0.4927749392869639)+((0.05874594936824684/x[1])**0.9322610422793729)**0.1576841747424489),[0.49277494 0.05874595 0.93226104 0.15768417],1.3150594362968908,"{'fitness 25': 1.2205659114961152, 'fitness 53': 1.3099765882437169, 'fitness 74': 1.3119111895466138, 'fitness 102': 1.3150594362968908}",False
80,"[[0], [2], [2], [1], [2, 0, 2, 0], [2, 3], [0, 1, 0, 1, 0, 0], [0, 1]]",1.3050289655985576,7,(((x[0]*Constant/x[1])**Constant)**Constant),"[1, 1, 1, 1, 2, 2, 3, 2]",(((x[0]*0.4927749392869639/x[1])**0.05874594936824684)**0.9322610422793729),[0.49277494 0.05874595 0.93226104],1.3353215486441539,"{'fitness 25': 1.246192788397796, 'fitness 53': 1.3297770518818575, 'fitness 74': 1.3391170565160193, 'fitness 102': 1.3353215486441539}",False
81,"[[0], [2], [0], [2, 3], [0], [0, 0], [0, 1, 0], [0, 0]]",1.3303604857786977,7,((x[0]+Constant**Constant)+x[0]**Constant),"[1, 1, 1, 2, 1, 2, 3, 2]",((x[0]+0.4927749392869639**0.05874594936824684)+x[0]**0.9322610422793729),[0.49277494 0.05874595 0.93226104],1.3059036152596384,"{'fitness 25': 1.340283864823369, 'fitness 53': 1.3327107787491554, 'fitness 74': 1.3180868137635684, 'fitness 102': 1.3059036152596384}",False
82,"[[0], [2], [1], [1, 2], [1, 2, 0], [3, 2, 0, 3], [1, 0, 0, 0, 0], [1, 0, 0, 1, 1, 0, 1, 0]]",1.3463955135380539,7,((((Constant/x[1])*x[0])+(x[0]/x[1]**Constant))**Constant),"[1, 1, 1, 2, 3, 4, 5, 4]",((((0.4927749392869639/x[1])*x[0])+(x[0]/x[1]**0.05874594936824684))**0.9322610422793729),[0.49277494 0.05874595 0.93226104],1.3824238678742578,"{'fitness 25': 1.2855399406920445, 'fitness 53': 1.3764239620175371, 'fitness 74': 1.3772226379045793, 'fitness 102': 1.3824238678742578}",False
83,"[[0], [2], [1], [1, 3], [1, 1, 1], [2, 2, 3, 2], [1, 1, 0, 0, 1, 1, 0, 0], [1, 1, 0]]",1.3555662826898487,7,((((Constant*Constant)*(x[1]/x[1]))*Constant)**Constant),"[1, 1, 1, 2, 2, 4, 5, 2]",((((0.4927749392869639*0.05874594936824684)*(x[1]/x[1]))*0.9322610422793729)**0.1576841747424489),[0.49277494 0.05874595 0.93226104 0.15768417],1.3896842802957659,"{'fitness 25': 1.2936137503967513, 'fitness 53': 1.3803453690744008, 'fitness 74': 1.3927397285983933, 'fitness 102': 1.3896842802957659}",False
84,"[[0], [2], [2, 3], [0], [2, 1], [3, 0, 3], [1, 1, 1, 1], []]",1.3743424279882184,6,((Constant/(Constant+Constant)**Constant)**Constant),"[1, 1, 1, 1, 2, 2, 3, 0]",((0.4927749392869639/(0.05874594936824684+0.9322610422793729)**0.1576841747424489)**0.8554984724979569),[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847],1.408441541033137,"{'fitness 25': 1.312485903498391, 'fitness 53': 1.399047453916108, 'fitness 74': 1.4114939265501556, 'fitness 102': 1.408441541033137}",False
85,"[[0], [1], [1, 1], [1, 3, 1, 0], [1, 1, 1, 1, 1, 0], [2, 2, 3, 2, 2, 2, 3, 3, 0, 3, 2, 1], [1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1], [0, 1, 0, 0]]",1.428582010442815,7,((((Constant*Constant)*(x[0]/Constant))*Constant)*(((x[1]*x[0])/(Constant/Constant))+(Constant/Constant)*x[0]-Constant)),"[1, 1, 2, 4, 6, 12, 13, 4]",((((0.4927749392869639*0.05874594936824684)*(x[0]/0.9322610422793729))*0.1576841747424489)*(((x[1]*x[0])/(0.8554984724979569/0.04686451672818437))+(0.17878489558131672/0.6575055093689879)*x[0]-0.30502334373943374)),"[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847 0.04686452
 0.1787849  0.65750551 0.30502334]",1.4845262287321725,"{'fitness 25': 1.3516035544144902, 'fitness 53': 1.4646388167083408, 'fitness 74': 1.469503660205614, 'fitness 102': 1.4845262287321725}",False
86,"[[0], [2], [2, 0], [1, 2, 0], [0, 1, 2, 2, 2], [0, 2, 2, 3, 3], [0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0], [1, 0, 1, 1]]",1.4422884581667852,7,(((x[1]+Constant*(x[0]*Constant))**Constant)**Constant),"[1, 1, 1, 1, 2, 3, 4, 2]",(((x[1]+0.4927749392869639*(x[0]*0.05874594936824684))**0.9322610422793729)**0.1576841747424489),[0.49277494 0.05874595 0.93226104 0.15768417],1.3750142632399096,"{'fitness 25': 1.5093498465165418, 'fitness 53': 1.425556579269813, 'fitness 74': 1.3919589487140005, 'fitness 102': 1.3750142632399096}",False
87,"[[0], [0], [1, 3], [2, 2], [1, 0], [2, 0, 3, 2], [0, 1, 0, 1, 0], [1, 0, 0]]",1.4507478009590755,7,(((x[1]*Constant)**Constant)+(x[0]/Constant**Constant))*x[0],"[1, 1, 2, 2, 2, 4, 5, 3]",(((x[1]*0.4927749392869639)**0.05874594936824684)+(x[0]/0.9322610422793729**0.1576841747424489))*x[0],[0.49277494 0.05874595 0.93226104 0.15768417],1.4441277082714685,"{'fitness 25': 1.4345468565629969, 'fitness 53': 1.4694969293679583, 'fitness 74': 1.448199616946271, 'fitness 102': 1.4441277082714685}",False
88,"[[0], [1], [1, 2], [2, 2, 0], [0, 2, 0, 1], [0, 1, 2, 3, 0, 3], [1, 1, 1, 0, 0, 1, 0], [1, 1, 1]]",1.5094714444740849,7,(((Constant+Constant**Constant)-(Constant**Constant))*(x[1]/x[1]+(Constant/x[1])**Constant)),"[1, 1, 2, 3, 4, 6, 7, 3]",(((0.4927749392869639+0.05874594936824684**0.9322610422793729)-(0.1576841747424489**0.8554984724979569))*(x[1]/x[1]+(0.04686451672818437/x[1])**0.17878489558131672)),"[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847 0.04686452
 0.1787849 ]",1.5422772871723442,"{'fitness 25': 1.4492018887984859, 'fitness 53': 1.533518441209079, 'fitness 74': 1.5456940034146902, 'fitness 102': 1.5422772871723442}",False
89,"[[0], [0], [3, 1], [1, 2], [1, 1, 0], [0, 1, 2, 2, 3, 0], [1, 1, 0, 1, 1, 0, 1], [1, 1]]",1.57081328224677,7,Constant+(((Constant-x[1])*(Constant*Constant))/(x[1]+Constant**Constant)),"[1, 1, 2, 2, 3, 6, 7, 2]",0.4927749392869639+(((0.05874594936824684-x[1])*(0.9322610422793729*0.1576841747424489))/(x[1]+0.8554984724979569**0.04686451672818437)),[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847 0.04686452],1.604720336024116,"{'fitness 25': 1.5098524258924504, 'fitness 53': 1.5948408684829913, 'fitness 74': 1.6077465523648677, 'fitness 102': 1.604720336024116}",False
